"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","bc_bin"
"1239",0.735612830918104,0.817542253419611,-0.948281184529265,1.1033871747848,-3.45760840140878,-2.53301020793993,-0.350652594388648,-1.98542072557428,6.61843085471838,"Average"
"1244",3.81002972468883,0.898038196340637,-2.03055587697829,2.51927380476311,-2.77799048393404,-3.1191141348158,-1.55744914213843,-3.65685787284728,5.91462578492125,"Average"
"1256",-1.50502309480962,0.24673658150662,0.419550431284368,0.869908599357205,-0.557365942504462,-1.26393626451657,-3.94309357080829,0.335323762283194,5.39789949820756,"Average"
"1257",-0.620580252700296,-1.15469547124333,-3.77966642896383,2.95922609447034,-0.447056563663863,-1.1514368428007,-2.06560817012938,-0.575178651839127,6.83499628687018,"Average"
"1258",3.73699545705302,0.713358281695627,-0.97546035672,2.49328100888991,-3.59401805851358,-3.3761527499398,-1.05718831917555,-3.92681989656661,5.98600463327697,"Robust"
"1261",-0.245247966705128,-0.827946012575774,-4.05976053295482,2.52767891385484,0.230553340476763,-0.880754584242866,-1.9128557987452,-0.411847406674597,5.58018004756678,"Average"
"1262",0.647540141660927,0.911018401923831,-0.551187481746465,1.00792303687402,-3.91117537534364,-2.67857485022753,-0.272830844531307,-2.0862123366016,6.93349930799177,"Average"
"1265",2.6354677605725,-0.0517109536598556,-3.26281892085,3.20802611122802,-0.844221486651125,-1.92984154926082,-2.86033573345897,-2.4513078643879,5.55674263646815,"Average"
"1272",3.97162766641579,0.56138066588384,0.487417923998714,2.97529568152246,-1.46330769390467,-2.903849737532,-4.87332456265133,-3.33867763976093,4.58343769602812,"Poor"
"1273",-1.17903739471903,0.736308471496094,-4.36767388844459,2.90066013579808,-4.65103142846648,5.25496843142507,-3.25655213858057,-1.08689432972832,5.64925214121975,"Average"
"1274",-0.987514538068258,-1.26026938292616,-2.19505526227526,2.65931923448072,-1.30647401487656,-1.18897994872538,-1.65461287402931,-0.629322420794757,6.56290920721495,"Poor"
"1282",3.2123011516931,-0.38759598481014,-2.8169832848055,3.66431168406478,-1.11337096190655,-2.17061214585598,-2.76716707219102,-2.96645402392764,5.34557063773894,"Robust"
"1288",0.856833569937243,0.672843718401756,-0.203857871817926,1.04090255629135,-3.75482473593158,-2.58844975177406,0.0316939036632164,-2.14914931562093,6.09400792685092,"Robust"
"1301",-0.934155162156462,-0.871462156880054,-3.09077835021808,2.50775567047699,-0.859975511411907,-1.1058486433859,-1.99478268963705,-0.449079731857351,6.79832657506982,"Average"
"1302",-2.02407731526795,-0.0650159332251565,2.7024924048719,0.875886588082599,-1.38672665990922,-1.64310460726206,-4.45890390077375,0.279094850219064,5.72035457326456,"Poor"
"1303",4.03596128557907,0.569806110986019,-1.74002704072569,2.7024825271818,-2.65538414490156,-3.07476247334043,-1.32484495819147,-3.77752353520403,5.26429222861629,"Robust"
"1304",2.56170569417318,-0.208094848268773,-3.39686354944194,3.38921839820169,-0.851639398034162,-1.96862197177167,-2.88408844551967,-2.46238770755597,5.82077182821732,"Average"
"1305",3.75566859499903,0.931477417604088,-0.83160811870803,2.15488881034668,-3.62719078814597,-3.35973990637772,-0.791829331945928,-3.87110468422469,5.63943800645254,"Robust"
"1306",0.918966296538443,0.422183789638644,-0.401769625778289,1.44061800978097,-3.90009555671752,-2.77645908559161,-0.0248321602405448,-2.33852353850041,6.65991187087031,"Robust"
"1308",0.053144822566414,-0.592485249833153,-1.58179654834289,2.3835181633053,-2.6704226763072,-2.14250914229543,-0.914647903881521,-1.64048765282587,7.10568618761434,"Robust"
"1324",3.22529829861247,0.493270922804533,-1.18711317283066,2.53437780104025,-3.1352400540928,-3.01268446371344,-1.31464895210676,-3.48929516052652,5.88603478081292,"Robust"
