"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","molt.stage"
"1507",-0.165005375606408,-0.339293884595668,-2.30818706804262,1.00576703701837,0.62358371072342,-2.44918596856697,-0.586003166899899,-1.6047115692599,5.82303628522967,"IV"
"1513",-2.31471766284566,3.46791150312922,0.752773409515265,-2.88059688388799,-4.98426655679217,-5.2594838756292,3.09425040312804,1.96252457808062,6.16160508530188,"V"
"1516",1.50327816741131,-2.65229270027458,0.0355384666293173,-1.08252655191617,-3.1075210012123,-5.29415519529059,2.5717570136347,2.51719927878261,5.50872252223569,"V"
"1527",1.24089336945261,-2.3391425717682,-0.753095311505791,-0.281884484059287,-0.684345968005013,-2.92584604439282,1.78736242940611,-2.32732235312691,6.2833809339993,"V"
"1528",1.48211187462434,-2.22841204355494,0.202834393684308,-0.921120419277834,-2.88656436951078,-4.80883571985173,1.70752770776918,1.67390098662471,5.77855758949275,"V"
"1554",3.31510539101145,-1.04825460359507,4.27776240205426,-2.29096701359985,-4.10053906906316,-4.43801030002833,-2.77341160600996,2.02754554767819,5.03076925155248,"V"
"1555",1.38674683761115,-0.186955376046508,0.355074943992946,-5.33309238737401,3.37652207609217,-7.54212098717137,2.67447666951892,-0.692961194968876,5.96230941834556,"V"
"1556",-0.877041558107193,1.35356899012145,-2.38596629566192,-2.86416612029314,5.25455377556648,-4.3152647664729,2.18411712362044,-3.75711652036233,5.40731537158912,"IV"
"1562",0.193080018319775,-0.833608938120631,-0.768575597761024,-0.347236357236705,-1.36741400500071,-2.71374974059785,1.74369547384119,-2.51715033928015,6.6109594858361,"V"
"1563",0.900931533603092,-1.47460246435018,-0.169704398995456,-0.748834668061052,-3.05485823755872,-5.01081415678107,1.44987623348262,1.84860891371664,6.25939724494412,"V"
"1581",-4.52723062014703,6.29714829285498,-1.9360043768927,-1.03100235616016,-1.09046486310819,-2.65486005243797,0.532161773498539,-2.19342195950124,6.60367416189376,"IV"
"1586",0.115218006806057,0.573359506460285,-1.4675608761823,1.21130597027831,0.287216058032189,-2.26041621314004,-3.1328955901921,-1.68657875197437,6.36035188991197,"IV"
"1663",1.08228608903822,-0.648125945155299,0.263754744753289,-0.149474225525061,-1.44692042299869,-2.57847312980471,-0.954727671368573,-2.50171557897899,6.93339614003981,"V"
"2009",0.274749810448884,-1.7178051999213,-1.97447799016109,2.53415260829431,-1.24114865943565,-0.611616878468923,-0.634452389690836,-0.346458883770858,3.71705758270545,"IV"
"2010",-0.399013243080494,0.925670497840122,0.204842020572221,-0.409146971177213,-2.0800980087945,-1.84682403667839,0.0869924920293104,-1.27079898782618,4.78837623711513,"V"
