"Sample","iav","iavser","location","year","sex","molt.stage","weight","st.length","ax.girth","bodcond","bc_bin","stage","bmi","bmi_bin","bmi_bin2"
"246","neg","neg","Great Point",2020,"F","V",24.8,94,79,84.0425531914894,"Poor","control",-0.948415218350587,"Poor","Average"
"248","neg","neg","Great Point",2020,"M","V",35.4,96,93,96.875,"Robust","control",2.66322608158438,"Robust","Average"
"1554","neg","neg","Muskeget",2020,"M","V",52,112,105.5,94.1964285714286,"Average","control",7.32338650392022,"Robust","Robust"
"1555","neg","neg","Muskeget",2020,"M","V",30.6,96,86.5,90.1041666666667,"Average","control",1.07583466470313,"Robust","Average"
"1556","pos","neg","Muskeget",2020,"M","IV",35.3,103,90.5,87.8640776699029,"Average","acute",2.18199268633878,"Robust","Average"
"1562","neg","neg","Muskeget",2020,"M","V",42,118,100,84.7457627118644,"Average","control",-0.766739376974795,"Poor","Average"
"1563","neg","pos","Muskeget",2020,"M","V",48.2,107,102.5,95.7943925233645,"Average","late",7.03461010660003,"Robust","Robust"
"1581","pos","neg","Muskeget",2020,"M","IV",NA,117,96,82.0512820512821,"Poor","acute",NA,NA,NA
"1586","pos","neg","Muskeget",2020,"F","IV",34.8,102,88.5,86.7647058823529,"Average","acute",2.96425540390407,"Robust","Robust"
"1663","pos","neg","Muskeget",2020,"M","V",40,107,100.5,93.9252336448598,"Average","acute",0.0806116606662115,"Robust","Average"
"2009","neg","neg","Monomoy",2023,"F","IV",41.6,125,97,77.6,"Poor","control",-1.05559679555574,"Poor","Average"
"2010","neg","pos","Monomoy",2023,"F","V",40.2,112,101,90.1785714285714,"Average","late",-1.49151019188127,"Poor","Average"
"2012","neg","neg","Monomoy",2023,"F","V",42.4,104,99.5,95.6730769230769,"Average","control",3.9462811490403,"Robust","Robust"
"2013","neg","neg","Monomoy",2023,"M","IV",32.4,105,90,85.7142857142857,"Average","control",-0.916034711793475,"Poor","Average"
"2014","neg","neg","Monomoy",2023,"F","IV",20,100,76,76,"Poor","control",-5.48872878424269,"Poor","Poor"
"2015","neg","neg","Monomoy",2023,"F","V",30,94,88,93.6170212765958,"Average","control",0.199340604089026,"Robust","Average"
"2017","neg","pos","Monomoy",2023,"M","V",40,118.5,95,80.168776371308,"Poor","late",0.40369238911771,"Robust","Average"
"2021","neg","pos","Monomoy",2023,"F","V",NA,105,116,110.47619047619,"Robust","late",NA,NA,NA
"2022","neg","pos","Monomoy",2023,"F","V",39.2,109,NA,NA,NA,"late",NA,NA,NA
"2023","neg","pos","Monomoy",2023,NA,NA,NA,116,NA,NA,NA,"late",NA,NA,NA
"2024","neg","neg","Monomoy",2023,"M","V",31,103,83,80.5825242718447,"Poor","control",1.72619946295007,"Robust","Average"
"2025","neg","pos","Monomoy",2023,"F","V",32.4,101,102,100.990099009901,"Robust","late",-6.66114532561587,"Poor","Poor"
"2026","neg","neg","Monomoy",2023,"F","V",38.6,100,97.5,97.5,"Robust","control",2.4121843941207,"Robust","Average"
"2030","neg","pos","Monomoy",2023,"M","V",36.2,102,94,92.156862745098,"Average","late",1.42772499303024,"Robust","Average"
"2032","neg","neg","Great Point",2023,"M","IV",13.8,83,63.5,76.5060240963855,"Poor","control",-4.72121469606057,"Poor","Poor"
"2033","neg","pos","Great Point",2023,"M","V",37.7,126,95,75.3968253968254,"Poor","late",-3.83771754115379,"Poor","Poor"
"2034","neg","neg","Great Point",2023,"F","V",32.8,122,93.5,76.6393442622951,"Poor","control",-6.71290048139414,"Poor","Poor"
"2037","neg","pos","Great Point",2023,"M","V",30.6,119,87.5,73.5294117647059,"Poor","late",-4.45398201317687,"Poor","Poor"
"2081","neg","pos","Muskeget",2023,"M","V",47.4,119,102,85.7142857142857,"Average","late",2.96752731760769,"Robust","Robust"
"2088","neg","neg","Muskeget",2023,"F","IV",25.4,100,83,83,"Poor","control",-3.28103054216282,"Poor","Poor"
"2096","neg","neg","Muskeget",2023,"F","V",37.2,114.5,100.5,87.7729257641921,"Average","control",-4.89210032251658,"Poor","Poor"
"2097","neg","neg","Muskeget",2023,"F","IV",29.4,109,92,84.4036697247706,"Poor","control",-5.98331540814434,"Poor","Poor"
"2098","pos","neg","Muskeget",2023,"F","V",38.6,112,99,88.3928571428571,"Average","acute",-1.80655854089455,"Poor","Average"
"2099","neg","neg","Muskeget",2023,"M","V",42.6,115,NA,NA,NA,"control",NA,NA,NA
"2104","neg","pos","Muskeget",2023,"M","V",48.8,118,96,81.3559322033898,"Poor","late",8.68668578231277,"Robust","Robust"
"2106","neg","pos","Muskeget",2023,"M","V",41.8,107,107,100,"Robust","late",-2.25866074338986,"Poor","Average"
